district_id,state,district,lat,lon,population,female_population,literacy_rate,urban_share,census_match_quality,Rape,Kidnapping_&_Abduction,Dowry_Deaths,Assault_on_women_with_intent_to_outrage_her_modesty,Insult_to_modesty_of_Women,Cruelty_by_Husband_or_his_Relatives,Importation_of_Girls,total_2001
34,ARUNACHAL PRADESH,SIANG EAST,28.15382353,95.06499226,106746.83333333333,51160.166666666664,0.5554684682293464,0.3292211577094804,unmatched,5,7,0,7,0,2,0,21
35,ARUNACHAL PRADESH,SIANG UPPER,28.83092449,95.00155765,106746.83333333333,51160.166666666664,0.5554684682293464,0.3292211577094804,unmatched,2,5,0,3,0,0,0,10
36,ARUNACHAL PRADESH,SIANG WEST,28.10629692,94.53510344,106746.83333333333,51160.166666666664,0.5554684682293464,0.3292211577094804,unmatched,4,10,0,25,2,2,0,43
37,ARUNACHAL PRADESH,SUBANSIRI LOWER,27.70849297,93.96226108,106746.83333333333,51160.166666666664,0.5554684682293464,0.3292211577094804,unmatched,2,5,0,4,0,0,0,11
38,ARUNACHAL PRADESH,SUBANSIRI UPPER,28.27719657,93.89914356,106746.83333333333,51160.166666666664,0.5554684682293464,0.3292211577094804,unmatched,2,1,0,8,0,2,0,13
39,ARUNACHAL PRADESH,TAWANG,27.68068396,91.82504245,49977.0,20826.0,0.5216999819917162,0.18601122743134577,exact,1,0,0,5,1,0,0,7
40,ARUNACHAL PRADESH,TIRAP,26.9440623,95.41470328,111975.0,54371.0,0.42843491850859566,0.2608346709470305,exact,1,3,0,0,0,0,0,4
41,ASSAM,BARPETA,26.42787226,90.9791201,1693622.0,826618.0,0.529668367557814,0.10451338757381638,exact,28,88,10,29,0,95,0,250
42,ASSAM,BONGAIGAON,26.45012522,90.67342962,738804.0,362986.0,0.5875414859692151,0.17455182333377195,exact,20,21,1,22,0,26,0,90
43,ASSAM,C.I.D.,26.299230679166666,92.65336424125,1248801.4090909092,610926.4545454546,0.6090657620028455,0.135746065872376,unmatched,0,0,0,0,0,0,0,0
44,ASSAM,CACHAR,24.81557067,92.8684965,1736617.0,850333.0,0.6761007176596797,0.20436850813493887,exact,45,74,7,80,0,216,0,422
45,ASSAM,DARRANG,26.58463216,92.04141338,928500.0,453227.0,0.524543887991384,0.06992927060746919,exact,48,47,9,56,0,37,0,197
46,ASSAM,DHEMAJI,27.58653344,94.71336909,686133.0,334884.0,0.6165393589872518,0.07230288002383227,exact,42,20,0,26,0,0,0,88
47,ASSAM,DHUBRI,26.04506148,89.98500822,1949258.0,951410.0,0.47317543393434836,0.11595930282772797,exact,43,51,5,49,0,111,0,259
48,ASSAM,DIBRUGARH,27.30612284,95.09982823,1326335.0,649901.0,0.6668986342062903,0.20466824927390156,exact,35,37,3,41,0,19,0,135
49,ASSAM,G.R.P.,26.299230679166666,92.65336424125,1248801.4090909092,610926.4545454546,0.6090657620028455,0.135746065872376,unmatched,1,0,0,0,0,0,0,1
50,HIMACHAL PRADESH,G.R.P.,30.914265515,77.50017959333333,572050.1666666666,281894.0833333333,0.7341628837330992,0.1094372462003986,unmatched,0,0,0,0,0,0,0,0
51,RAJASTHAN,G.R.P.,26.257790296875,74.80356143,2115018.40625,1017729.25,0.559595706237131,0.2663044060225552,unmatched,1,4,0,14,0,0,0,19
52,UTTAR PRADESH,G.R.P.,27.034801163428572,80.53782708771428,2917425.393939394,1391538.2272727273,0.5711247602935249,0.23745337744967093,unmatched,2,2,1,18,71,1,0,95
53,ASSAM,GOALPARA,26.01727778,90.59869892,1008183.0,494891.0,0.5590026810608788,0.14734031046495147,exact,35,35,1,54,0,64,0,189
54,ASSAM,GOLAGHAT,26.37721971,93.82583398,1066888.0,523727.0,0.676513373475004,0.10453004283316467,exact,30,40,0,23,0,26,0,119
55,ASSAM,GUWAHATI CITY,26.1445,91.7362,1248801.4090909092,610926.4545454546,0.6090657620028455,0.135746065872376,unmatched,37,64,5,67,0,98,0,271
56,ASSAM,HAILAKANDI,24.45749609,92.59154665,659296.0,321406.0,0.6178802844245984,0.0923627698569694,exact,24,34,2,27,0,28,0,115
57,ASSAM,JORHAT,26.76244824,94.30197723,1092256.0,535451.0,0.7277863431283509,0.2201365094755879,exact,42,28,2,44,0,48,0,164
58,ASSAM,KAMRUP,26.17093945,91.58863274,1517542.0,739081.0,0.6558757517090137,0.10093107297816754,exact,21,65,2,42,0,27,0,157
59,ASSAM,KARBI ANGLONG,26.08966455,93.1153657,956313.0,466146.0,0.5826690633715113,0.14704835571584493,exact,5,15,4,5,0,8,0,37
60,ASSAM,KARIMGANJ,24.69660712,92.36794986,1228686.0,602822.0,0.6472744053403392,0.11096592451805594,exact,33,8,1,9,0,30,0,81
61,ASSAM,KOKRAJHAR,26.49724664,90.13997471,887142.0,434237.0,0.5515520626912039,0.07709077478142976,exact,14,12,0,37,0,20,0,83
62,ASSAM,LAKHIMPUR,27.14128806,94.07759493,1042137.0,512463.0,0.6558504304136596,0.10579600101240193,exact,64,62,0,22,0,93,0,241
63,ASSAM,MORIGAON,26.24650047,92.21949953,957423.0,470772.0,0.5639116670478984,0.09816258287019236,exact,23,37,0,6,0,28,0,94
64,ASSAM,N.C.HILLS,25.33829985,92.97740206,1248801.4090909092,610926.4545454546,0.6090657620028455,0.135746065872376,unmatched,2,4,0,2,0,7,0,15
